ID,Revision,Change,PathID,CopyFromRev,CopyFromPathID
0,11,A,1,-1,-1
1,45,M,10,-1,-1
2,50,M,10,-1,-1
3,53,M,10,-1,-1
4,57,M,10,-1,-1
5,62,M,10,-1,-1
6,70,M,10,-1,-1
7,73,M,10,-1,-1
8,78,M,10,-1,-1
9,81,M,10,-1,-1
10,89,M,10,-1,-1
11,90,M,10,-1,-1
12,90,M,40,-1,-1
13,90,M,41,-1,-1
14,90,A,63,-1,-1
15,90,A,64,-1,-1
16,91,D,66,-1,-1
17,91,D,67,-1,-1
18,92,M,16,-1,-1
19,93,M,7,-1,-1
20,93,M,65,-1,-1
21,94,M,10,-1,-1
22,310,M,65,-1,-1
23,313,M,10,-1,-1
24,324,A,5,323,64
25,324,A,6,323,63
26,324,M,7,-1,-1
27,324,M,10,-1,-1
28,324,M,16,-1,-1
29,324,M,40,-1,-1
30,324,M,41,-1,-1
31,324,D,63,-1,-1
32,324,D,64,-1,-1
33,324,M,65,-1,-1
34,348,M,10,-1,-1
35,349,M,10,-1,-1
36,369,M,10,-1,-1
37,371,M,10,-1,-1
38,372,M,10,-1,-1
39,375,M,10,-1,-1
40,384,M,10,-1,-1
41,409,M,10,-1,-1
42,481,M,10,-1,-1
43,482,M,10,-1,-1
44,655,M,10,-1,-1
45,658,M,39,-1,-1
46,658,M,53,-1,-1
47,658,M,62,-1,-1
48,663,M,10,-1,-1
49,666,M,10,-1,-1
50,670,M,10,-1,-1
51,731,M,10,-1,-1
52,742,M,10,-1,-1
53,744,M,10,-1,-1
54,773,M,10,-1,-1
55,774,M,10,-1,-1
56,782,M,37,-1,-1
57,782,M,38,-1,-1
58,782,M,51,-1,-1
59,788,M,5,-1,-1
60,788,M,6,-1,-1
61,789,A,30,-1,-1
62,789,A,52,-1,-1
63,790,A,35,-1,-1
64,790,M,37,-1,-1
65,790,M,38,-1,-1
66,790,A,59,-1,-1
67,791,M,30,-1,-1
68,792,M,30,-1,-1
69,808,A,61,782,2
70,809,A,55,808,61
71,847,A,60,27,2
72,869,M,30,-1,-1
73,869,M,51,-1,-1
74,869,M,52,-1,-1
75,869,M,53,-1,-1
76,870,M,35,-1,-1
77,947,A,34,-1,-1
78,947,M,35,-1,-1
79,947,M,37,-1,-1
80,947,M,38,-1,-1
81,947,D,59,-1,-1
82,997,M,34,-1,-1
83,997,M,35,-1,-1
84,1020,M,35,-1,-1
85,1026,M,58,-1,-1
86,1034,A,54,1033,55
87,1062,M,10,-1,-1
88,1068,M,2,-1,-1
89,1068,M,10,-1,-1
90,1070,M,10,-1,-1
91,1071,M,10,-1,-1
92,1072,M,10,-1,-1
93,1076,M,34,-1,-1
94,1076,M,35,-1,-1
95,1076,M,52,-1,-1
96,1078,M,30,-1,-1
97,1079,M,53,-1,-1
98,1100,M,30,-1,-1
99,1100,M,35,-1,-1
100,1101,M,35,-1,-1
101,1102,M,35,-1,-1
102,1113,M,30,-1,-1
103,1113,M,37,-1,-1
104,1113,M,38,-1,-1
105,1114,A,21,-1,-1
106,1115,D,52,-1,-1
107,1137,M,21,-1,-1
108,1140,M,35,-1,-1
109,1141,M,35,-1,-1
110,1144,M,35,-1,-1
111,1145,M,31,-1,-1
112,1153,M,21,-1,-1
113,1153,M,30,-1,-1
114,1153,M,35,-1,-1
115,1154,M,21,-1,-1
116,1171,M,21,-1,-1
117,1171,M,51,-1,-1
118,1198,M,35,-1,-1
119,1200,M,35,-1,-1
120,1252,M,21,-1,-1
121,1262,M,21,-1,-1
122,1264,M,21,-1,-1
123,1266,M,21,-1,-1
124,1270,M,21,-1,-1
125,1271,M,21,-1,-1
126,1272,M,21,-1,-1
127,1273,M,21,-1,-1
128,1275,M,21,-1,-1
129,1279,M,34,-1,-1
130,1279,M,35,-1,-1
131,1285,M,34,-1,-1
132,1285,M,35,-1,-1
133,1293,M,30,-1,-1
134,1293,M,35,-1,-1
135,1305,M,34,-1,-1
136,1305,M,35,-1,-1
137,1349,M,34,-1,-1
138,1350,M,35,-1,-1
139,1356,M,35,-1,-1
140,1357,M,35,-1,-1
141,1359,M,34,-1,-1
142,1359,M,35,-1,-1
143,1369,M,35,-1,-1
144,1375,M,35,-1,-1
145,1383,M,35,-1,-1
146,1385,M,34,-1,-1
147,1385,M,35,-1,-1
148,1387,M,21,-1,-1
149,1427,M,21,-1,-1
150,1427,M,34,-1,-1
151,1427,M,51,-1,-1
152,1432,M,21,-1,-1
153,1439,M,21,-1,-1
154,1444,M,21,-1,-1
155,1458,M,35,-1,-1
156,1459,M,35,-1,-1
157,1461,M,21,-1,-1
158,1464,M,35,-1,-1
159,1487,M,21,-1,-1
160,1490,M,21,-1,-1
161,1492,M,21,-1,-1
162,1493,M,21,-1,-1
163,1494,M,21,-1,-1
164,1495,M,21,-1,-1
165,1521,M,21,-1,-1
166,1559,M,21,-1,-1
167,1560,M,21,-1,-1
168,1561,M,21,-1,-1
169,1564,M,35,-1,-1
170,1566,M,35,-1,-1
171,1578,M,10,-1,-1
172,1589,M,21,-1,-1
173,1598,M,35,-1,-1
174,1599,M,35,-1,-1
175,1606,M,35,-1,-1
176,1608,M,34,-1,-1
177,1608,M,35,-1,-1
178,1611,M,35,-1,-1
179,1613,M,21,-1,-1
180,1629,M,35,-1,-1
181,1630,M,34,-1,-1
182,1630,M,35,-1,-1
183,1634,M,34,-1,-1
184,1634,M,35,-1,-1
185,1635,M,10,-1,-1
186,1642,M,35,-1,-1
187,1648,M,21,-1,-1
188,1653,M,35,-1,-1
189,1656,M,21,-1,-1
190,1656,M,30,-1,-1
191,1656,M,35,-1,-1
192,1663,M,35,-1,-1
193,1710,M,34,-1,-1
194,1712,M,31,-1,-1
195,1732,M,21,-1,-1
196,1735,M,21,-1,-1
197,1736,M,39,-1,-1
198,1737,M,31,-1,-1
199,1741,M,35,-1,-1
200,1745,M,35,-1,-1
201,1752,A,44,-1,-1
202,1752,M,45,-1,-1
203,1752,A,46,-1,-1
204,1752,A,47,-1,-1
205,1752,A,48,-1,-1
206,1752,A,49,-1,-1
207,1752,A,50,-1,-1
208,1761,M,45,-1,-1
209,1763,D,44,-1,-1
210,1769,M,42,-1,-1
211,1777,A,8,-1,-1
212,1777,A,9,-1,-1
213,1777,A,15,-1,-1
214,1777,M,31,-1,-1
215,1777,A,33,-1,-1
216,1777,A,36,-1,-1
217,1777,M,42,-1,-1
218,1777,A,43,-1,-1
219,1778,M,42,-1,-1
220,1977,M,31,-1,-1
221,1977,M,35,-1,-1
222,2070,M,5,-1,-1
223,2070,M,6,-1,-1
224,2070,M,11,-1,-1
225,2070,M,14,-1,-1
226,2070,M,21,-1,-1
227,2070,M,30,-1,-1
228,2070,M,40,-1,-1
229,2070,M,41,-1,-1
230,2076,M,21,-1,-1
231,2076,M,30,-1,-1
232,2076,M,31,-1,-1
233,2076,M,35,-1,-1
234,2076,M,37,-1,-1
235,2076,M,38,-1,-1
236,2076,M,39,-1,-1
237,2077,M,9,-1,-1
238,2077,M,33,-1,-1
239,2077,M,36,-1,-1
240,2079,M,14,-1,-1
241,2080,A,12,-1,-1
242,2080,A,18,-1,-1
243,2080,A,32,-1,-1
244,2082,D,34,-1,-1
245,2082,D,35,-1,-1
246,2085,M,18,-1,-1
247,2085,M,33,-1,-1
248,2086,M,11,-1,-1
249,2087,M,33,-1,-1
250,2088,M,10,-1,-1
251,2089,M,10,-1,-1
252,2120,M,9,-1,-1
253,2120,M,32,-1,-1
254,2121,M,9,-1,-1
255,2125,M,9,-1,-1
256,2127,M,9,-1,-1
257,2128,M,9,-1,-1
258,2131,M,9,-1,-1
259,2132,M,9,-1,-1
260,2134,M,5,-1,-1
261,2134,M,9,-1,-1
262,2134,M,11,-1,-1
263,2144,M,9,-1,-1
264,2144,M,11,-1,-1
265,2156,M,9,-1,-1
266,2183,M,31,-1,-1
267,2189,M,9,-1,-1
268,2196,M,9,-1,-1
269,2199,M,9,-1,-1
270,2209,M,5,-1,-1
271,2220,M,12,-1,-1
272,2220,M,18,-1,-1
273,2220,M,30,-1,-1
274,2221,M,21,-1,-1
275,2222,M,5,-1,-1
276,2222,M,6,-1,-1
277,2222,M,11,-1,-1
278,2227,M,5,-1,-1
279,2227,M,6,-1,-1
280,2227,M,9,-1,-1
281,2227,M,11,-1,-1
282,2228,M,11,-1,-1
283,2245,A,29,2244,2
284,2246,A,23,2245,29
285,2252,M,5,-1,-1
286,2252,M,6,-1,-1
287,2253,M,5,-1,-1
288,2316,M,26,-1,-1
289,2316,M,27,-1,-1
290,2318,M,3,-1,-1
291,2318,M,5,-1,-1
292,2318,M,10,-1,-1
293,2357,M,5,-1,-1
294,2357,M,11,-1,-1
295,2358,M,21,-1,-1
296,2371,M,11,-1,-1
297,2371,M,18,-1,-1
298,2371,M,21,-1,-1
299,2372,M,18,-1,-1
300,2372,M,21,-1,-1
301,2374,M,18,-1,-1
302,2374,M,21,-1,-1
303,2377,M,5,-1,-1
304,2377,M,11,-1,-1
305,2380,M,5,-1,-1
306,2380,M,6,-1,-1
307,2381,M,5,-1,-1
308,2381,M,6,-1,-1
309,2382,M,6,-1,-1
310,2383,M,5,-1,-1
311,2384,M,18,-1,-1
312,2385,M,5,-1,-1
313,2386,M,5,-1,-1
314,2386,M,6,-1,-1
315,2388,M,6,-1,-1
316,2388,M,18,-1,-1
317,2389,M,11,-1,-1
318,2391,M,6,-1,-1
319,2391,M,9,-1,-1
320,2392,M,5,-1,-1
321,2392,M,6,-1,-1
322,2392,M,9,-1,-1
323,2397,M,9,-1,-1
324,2408,M,5,-1,-1
325,2408,M,6,-1,-1
326,2408,M,9,-1,-1
327,2408,M,11,-1,-1
328,2409,M,5,-1,-1
329,2409,M,6,-1,-1
330,2409,M,9,-1,-1
331,2409,M,11,-1,-1
332,2410,M,11,-1,-1
333,2411,M,11,-1,-1
334,2412,M,5,-1,-1
335,2412,M,6,-1,-1
336,2413,M,5,-1,-1
337,2413,M,6,-1,-1
338,2413,M,12,-1,-1
339,2413,M,18,-1,-1
340,2414,M,5,-1,-1
341,2414,M,18,-1,-1
342,2416,M,6,-1,-1
343,2417,M,5,-1,-1
344,2417,M,6,-1,-1
345,2418,M,5,-1,-1
346,2418,M,11,-1,-1
347,2419,M,6,-1,-1
348,2420,M,5,-1,-1
349,2420,M,6,-1,-1
350,2420,M,10,-1,-1
351,2420,M,11,-1,-1
352,2421,M,5,-1,-1
353,2421,M,6,-1,-1
354,2426,M,6,-1,-1
355,2429,M,5,-1,-1
356,2429,M,6,-1,-1
357,2429,M,11,-1,-1
358,2430,M,5,-1,-1
359,2430,M,6,-1,-1
360,2430,M,11,-1,-1
361,2431,M,5,-1,-1
362,2431,M,6,-1,-1
363,2431,M,11,-1,-1
364,2433,M,10,-1,-1
365,2433,M,11,-1,-1
366,2436,M,5,-1,-1
367,2436,M,6,-1,-1
368,2437,M,5,-1,-1
369,2437,M,6,-1,-1
370,2439,M,5,-1,-1
371,2439,M,6,-1,-1
372,2439,M,9,-1,-1
373,2440,M,5,-1,-1
374,2440,M,6,-1,-1
375,2440,M,11,-1,-1
376,2446,M,5,-1,-1
377,2446,M,6,-1,-1
378,2448,M,6,-1,-1
379,2449,M,6,-1,-1
380,2450,M,5,-1,-1
381,2450,M,6,-1,-1
382,2451,M,5,-1,-1
383,2451,M,6,-1,-1
384,2451,M,11,-1,-1
385,2452,M,6,-1,-1
386,2453,M,6,-1,-1
387,2454,M,6,-1,-1
388,2455,M,6,-1,-1
389,2456,M,6,-1,-1
390,2458,M,5,-1,-1
391,2458,M,6,-1,-1
392,2459,M,6,-1,-1
393,2460,M,5,-1,-1
394,2460,M,6,-1,-1
395,2461,M,5,-1,-1
396,2461,M,6,-1,-1
397,2461,M,11,-1,-1
398,2462,M,5,-1,-1
399,2462,M,6,-1,-1
400,2462,M,9,-1,-1
401,2471,M,6,-1,-1
402,2471,M,11,-1,-1
403,2471,M,17,-1,-1
404,2472,M,11,-1,-1
405,2476,M,5,-1,-1
406,2476,M,6,-1,-1
407,2477,M,11,-1,-1
408,2480,M,5,-1,-1
409,2480,M,6,-1,-1
410,2483,M,5,-1,-1
411,2483,M,6,-1,-1
412,2483,M,11,-1,-1
413,2484,M,5,-1,-1
414,2484,M,6,-1,-1
415,2484,M,9,-1,-1
416,2484,M,11,-1,-1
417,2485,M,11,-1,-1
418,2486,M,5,-1,-1
419,2486,M,6,-1,-1
420,2486,M,9,-1,-1
421,2489,M,6,-1,-1
422,2490,M,5,-1,-1
423,2490,M,6,-1,-1
424,2491,M,5,-1,-1
425,2491,M,6,-1,-1
426,2491,M,11,-1,-1
427,2492,M,6,-1,-1
428,2492,M,9,-1,-1
429,2492,M,11,-1,-1
430,2493,M,6,-1,-1
431,2494,M,6,-1,-1
432,2496,M,6,-1,-1
433,2497,M,6,-1,-1
434,2499,M,6,-1,-1
435,2499,M,11,-1,-1
436,2503,M,6,-1,-1
437,2503,M,11,-1,-1
438,2504,M,6,-1,-1
439,2505,M,6,-1,-1
440,2506,M,9,-1,-1
441,2506,M,11,-1,-1
442,2509,M,6,-1,-1
443,2509,M,9,-1,-1
444,2509,M,11,-1,-1
445,2534,M,9,-1,-1
446,2534,M,11,-1,-1
447,2575,M,6,-1,-1
448,2605,M,6,-1,-1
449,2605,M,9,-1,-1
450,2611,M,6,-1,-1
451,2611,M,9,-1,-1
452,2612,M,9,-1,-1
453,2613,M,5,-1,-1
454,2613,M,6,-1,-1
455,2613,M,9,-1,-1
456,2613,M,11,-1,-1
457,2617,M,6,-1,-1
458,2646,M,6,-1,-1
459,2646,M,11,-1,-1
460,2649,M,6,-1,-1
461,2656,M,5,-1,-1
462,2656,M,6,-1,-1
463,2662,M,6,-1,-1
464,2667,M,6,-1,-1
465,2667,M,11,-1,-1
466,2673,M,6,-1,-1
467,2673,M,11,-1,-1
468,2674,M,5,-1,-1
469,2674,M,6,-1,-1
470,2674,M,11,-1,-1
471,2676,M,6,-1,-1
472,2680,M,5,-1,-1
473,2680,M,6,-1,-1
474,2680,M,9,-1,-1
475,2680,M,11,-1,-1
476,2681,M,6,-1,-1
477,2683,M,6,-1,-1
478,2688,M,5,-1,-1
479,2688,M,6,-1,-1
480,2696,M,5,-1,-1
481,2696,M,6,-1,-1
482,2696,M,11,-1,-1
483,2696,M,14,-1,-1
484,2708,M,6,-1,-1
485,2713,M,6,-1,-1
486,2713,M,11,-1,-1
487,2715,M,5,-1,-1
488,2715,M,6,-1,-1
489,2715,M,11,-1,-1
490,2717,M,5,-1,-1
491,2733,M,5,-1,-1
492,2733,M,6,-1,-1
493,2733,M,9,-1,-1
494,2733,M,11,-1,-1
495,2733,M,14,-1,-1
496,2734,M,14,-1,-1
497,2735,M,6,-1,-1
498,2736,M,11,-1,-1
499,2737,M,6,-1,-1
500,2772,M,5,-1,-1
501,2772,M,6,-1,-1
502,2772,M,7,-1,-1
503,2772,M,9,-1,-1
504,2772,M,10,-1,-1
505,2772,M,11,-1,-1
506,2772,M,16,-1,-1
507,2807,M,6,-1,-1
508,2813,M,6,-1,-1
509,2813,M,9,-1,-1
510,2813,M,11,-1,-1
511,2821,M,11,-1,-1
512,2825,M,6,-1,-1
513,2825,M,11,-1,-1
514,2829,M,5,-1,-1
515,2829,M,6,-1,-1
516,2829,M,7,-1,-1
517,2829,M,10,-1,-1
518,2829,M,11,-1,-1
519,2835,M,6,-1,-1
520,2835,M,11,-1,-1
521,2837,M,6,-1,-1
522,2837,M,9,-1,-1
523,2839,M,5,-1,-1
524,2839,M,6,-1,-1
525,2839,M,7,-1,-1
526,2839,M,9,-1,-1
527,2839,M,11,-1,-1
528,2840,M,6,-1,-1
529,2840,M,9,-1,-1
530,2840,M,11,-1,-1
531,2842,M,11,-1,-1
532,2843,M,6,-1,-1
533,2844,M,5,-1,-1
534,2844,M,6,-1,-1
535,2844,M,9,-1,-1
536,2853,M,6,-1,-1
537,2853,M,9,-1,-1
538,2855,M,9,-1,-1
539,2859,M,5,-1,-1
540,2859,M,6,-1,-1
541,2859,M,11,-1,-1
542,2862,M,11,-1,-1
543,2867,M,11,-1,-1
544,2875,M,6,-1,-1
545,2875,M,9,-1,-1
546,2877,M,9,-1,-1
547,2879,M,9,-1,-1
548,2879,M,11,-1,-1
549,2882,M,5,-1,-1
550,2882,M,6,-1,-1
551,2886,M,6,-1,-1
552,2886,M,11,-1,-1
553,2887,M,9,-1,-1
554,2887,M,11,-1,-1
555,2891,M,5,-1,-1
556,2891,M,6,-1,-1
557,2891,M,7,-1,-1
558,2891,M,9,-1,-1
559,2892,M,7,-1,-1
560,2893,M,6,-1,-1
561,2893,M,11,-1,-1
562,2894,D,15,-1,-1
563,2905,M,6,-1,-1
564,2905,M,11,-1,-1
565,2906,M,5,-1,-1
566,2906,M,6,-1,-1
567,2906,M,7,-1,-1
568,2906,M,9,-1,-1
569,2906,M,11,-1,-1
570,2909,M,7,-1,-1
571,2912,M,11,-1,-1
572,2919,M,5,-1,-1
573,2919,M,6,-1,-1
574,2919,M,11,-1,-1
575,2919,M,14,-1,-1
576,2922,M,9,-1,-1
577,2922,M,11,-1,-1
