Revision,AuthorID,TimeStamp,Comment,HasStdInfo,HasChangeInfo,HasMergeInfo,HasUserRevPropInfo
11,5,2022-10-26T17:11:03.789825Z,"",1,1,0,0
45,2,2022-10-27T08:18:37.056187Z,"Měnil jsem jméno, jelikož se jmenuji jinak, nežli můj vyučující ",1,1,0,0
50,3,2022-10-27T08:19:44.403679Z,"Úprava pojmenování Autor 3 :-)",1,1,0,0
53,4,2022-10-27T08:20:00.298063Z,"My name Jeff (Autor 4 uprava jmena)",1,1,0,0
57,1,2022-10-27T08:20:30.347342Z,"aktualizacia autora 2 v Introduction.md",1,1,0,0
62,1,2022-10-27T08:25:54.695693Z,"oprava dokumentacie ",1,1,0,0
70,2,2022-10-27T08:45:08.653335Z,"ahoj, plus nějake prikazy",1,1,0,0
73,1,2022-10-27T08:48:14.947777Z,"ajoj nazdar",1,1,0,0
78,3,2022-10-27T08:52:41.729097Z,"test konfliktu -bitka ",1,1,0,0
81,4,2022-10-27T08:54:34.359728Z,"oprava konfliktu ",1,1,0,0
89,1,2022-10-29T15:52:01.765266Z,"prva aktualizacia zadania (prepisy datovych typov, kontajnerov a pridelenie autorov k metodam)",1,1,0,0
90,1,2022-10-29T16:30:16.694534Z,"prepis suborov CContainer.h a CContainer.cpp na CZasobnik.h a CZasobnik.cpp - povodne CContainery su teda nepouzite.. oprava drobnosti v dokumentacii v Introduction.md",1,1,0,0
91,1,2022-10-29T16:34:18.931987Z,"delete CContainer.h a CContainer.cpp",1,1,0,0
92,1,2022-10-29T16:49:44.646205Z,"uprava grafu pre graphviz",1,1,0,0
93,1,2022-10-29T17:12:38.181304Z,"BPC-PPC 2022: CZasobnik Example Project",1,1,0,0
94,4,2022-10-29T18:08:16.110796Z,"oprava mail adresy autora 4",1,1,0,0
310,3,2022-11-03T08:56:29.301648Z,"DONE DONE DONE",1,1,0,0
313,3,2022-11-03T08:58:26.890309Z,"done CContainer",1,1,0,0
324,3,2022-11-03T09:13:56.213643Z,"Prejmenovani CZasobnik na CStack",1,1,0,0
348,2,2022-11-04T16:53:07.959153Z,"uprava zadani s mymi chlapci",1,1,0,0
349,2,2022-11-04T17:20:00.710844Z,"další commit s boizs",1,1,0,0
369,1,2022-11-04T21:17:02.997859Z,"moje návrhy zadania",1,1,0,0
371,1,2022-11-05T14:41:17.754321Z,"moje návrhy zadania vol. 2",1,1,0,0
372,1,2022-11-05T14:49:51.919281Z,"aktualizácia Done, To-do, Note",1,1,0,0
375,4,2022-11-05T17:21:00.203680Z,"Uprava zadani",1,1,0,0
384,3,2022-11-06T09:01:23.191839Z,"Uprava zadani",1,1,0,0
409,5,2022-11-07T17:08:19.700024Z,"Konzultace zadani",1,1,0,0
481,4,2022-11-08T19:52:55.570477Z,"uprava zadani podle Petyho",1,1,0,0
482,4,2022-11-08T20:14:53.299276Z,"uprava zadani podle Petyho",1,1,0,0
655,2,2022-11-10T08:23:29.772650Z,"uprava autora",1,1,0,0
658,1,2022-11-10T08:36:42.522173Z,"uprava hlavicky zadania projektu CBlock, nie projektu Projekt.. + doplnenie aliasu ""done"" do doxyfile",1,1,0,0
663,3,2022-11-10T09:08:08.578790Z,"todo -> done, uprava zadani
",1,1,0,0
666,1,2022-11-10T09:20:36.270368Z,"kontejner -> zasobnik",1,1,0,0
670,1,2022-11-10T09:39:06.601625Z,"prepis posledného Note na Done",1,1,0,0
731,1,2022-11-10T19:41:19.997481Z,"finalna uprava zadania - prepis jednotlivych metod, oprava chyb a oprava typografickych chyb ",1,1,0,0
742,1,2022-11-10T20:02:31.622643Z,"fix zadania",1,1,0,0
744,1,2022-11-10T20:14:51.796759Z,"oprava operatora --",1,1,0,0
773,1,2022-11-10T23:30:16.154657Z,"oprava autora 4 pri metode Usage(): Prasek->Pešek",1,1,0,0
774,1,2022-11-10T23:39:02.940979Z,"uprava autorov v bode 8, Kluka, Prasek
",1,1,0,0
782,1,2022-11-11T10:44:23.205146Z,"pridané CBlock_long.h a CBlock_TInvertval.h so základnou definíciou triedy",1,1,0,0
788,4,2022-11-12T18:36:18.127448Z,"Prvni nastrel funkce Push",1,1,0,0
789,1,2022-11-12T21:29:09.914623Z,"vsetky konstruktory CBlock_long.h",1,1,0,0
790,4,2022-11-12T21:40:28.943951Z,"presun push funkce do CBlock projektu",1,1,0,0
791,1,2022-11-12T22:55:13.158359Z,"odstranenie ExtraIntu z konstruktorov, doplnenie destruktorov, InstanceInfo gettera a settero/getterov",1,1,0,0
